ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A_400B,P411B,P412B_CANT_1,P412B_CANT_2,P412B_UM,P412B_UMCOD,P412B_EQUI_KG,P413B_CANT_1,P413B_CANT_2,P413B_PREUNT_1,P413B_PREUNT_2,P413B_VAL,P413B_PRE_KG,P414B_ENT,P414B_DEC,P414B_PREUNT_1,P414B_PREUNT_2,P414B_VAL,P414B_PRE_KG,P415B_ENT,P415B_DEC,P415B_PREUNT_1,P415B_PREUNT_2,P415B_VAL,P415B_PRE_KG,P416B_ENT,P416B_DEC,P417B,OMICAP400_03
2021,24,TUMBES,01,TUMBES,02,CORRALES,00010,00071,9,1,1,1,9.60185185185185,1,1,1,15,6,240,00,UNIDAD,24,.06,0,00, , , , ,240,00,0,40,96,6.6667, , , , , , ,0,00,2, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00010,00077,10,1,1,1,9.60185185185185,1,1,1,15,6,30,00,UNIDAD,24,.06,0,00, , , , ,30,00,0,50,15,8.3333, , , , , , ,0,00,6, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00011,00049,7,1,1,1,8.86324786324786,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00011,00060,8,1,1,1,8.86324786324786,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00013,00002,1,1,1,1,10.9090909090909,1,1,1,15,6,10,00,KILOGRAMO,12,1,0,00, , , , ,10,00,5,00,50,5, , , , , , ,0,00,2, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00013,00066,8,1,1,1,10.9090909090909,1,1,1,15,6,80,00,KILOGRAMO,12,1,0,00, , , , ,40,00,5,00,200,5, , , , , , ,40,00,15, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00014,00046,7,1,1,1,9.60185185185185,1,1,1,15,6,50,00,UNIDAD,24,.06,0,00, , , , ,20,00,0,50,10,8.3333, , , , , , ,30,00,6, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00014,00063,10,1,1,1,9.60185185185185,1,1,1,15,6,10,00,KILOGRAMO,12,1,0,00, , , , ,10,00,8,50,85,8.5, , , , , , ,0,00,15, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00015,00006,1,1,1,1,9.60185185185185,1,1,1,15,6,150,00,UNIDAD,24,.06,0,00, , , , ,150,00,0,50,75,8.3333, , , , , , ,0,00,3, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00015,00023,3,1,1,1,9.60185185185185,1,1,1,15,6,700,00,UNIDAD,24,.06,0,00, , , , ,384,00,0,50,192,8.3333, , , , , , ,316,00,3, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00015,00038,6,1,1,1,9.60185185185185,1,1,1,15,6,378,00,UNIDAD,24,.06,0,00, , , , ,120,00,0,50,60,8.3333, , , , , , ,258,00,3, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00015,00049,7,1,1,1,9.60185185185185,1,1,1,15,6,288,00,UNIDAD,24,.06,0,00, , , , ,150,00,0,60,90,10, , , , , , ,138,00,3, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00015,00073,11,1,1,1,9.60185185185185,1,1,1,15,6,600,00,UNIDAD,24,.06,0,00, , , , ,600,00,0,50,300,8.3333, , , , , , ,0,00,4, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00015,00082,12,1,1,1,9.60185185185185,1,1,1,15,6,700,00,UNIDAD,24,.06,0,00, , , , ,200,00,0,50,100,8.3333, , , , , , ,500,00,10, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00016,00018,3,1,1,1,8.23015873015873,1,1,1,15,6,270,00,UNIDAD,24,.06,0,00, , , , ,200,00,0,50,100,8.3333, , , , , , ,70,00,3, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00016,00033,5,1,1,1,8.23015873015873,1,1,1,15,6,360,00,UNIDAD,24,.06,0,00, , , , ,360,00,0,50,180,8.3333, , , , , , ,0,00,4, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00016,00055,9,1,1,1,8.23015873015873,1,1,1, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00016,00070,11,1,1,1,8.23015873015873,1,1,1,15,6,720,00,UNIDAD,24,.06,300,00,0,50,150,8.3333,420,00,0,50,210,8.3333, , , , , , ,0,00,8, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00016,00081,12,1,1,1,8.23015873015873,1,1,1,15,6,180,00,UNIDAD,24,.06,0,00, , , , ,180,00,0,50,90,8.3333, , , , , , ,0,00,2, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00017,00049,9,1,1,1,8.23015873015873,1,1,1,15,6,30,00,UNIDAD,24,.07,0,00, , , , ,30,00,1,00,30,14.2857, , , , , , ,0,00,4, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00017,00075,14,1,1,1,8.23015873015873,1,1,1,15,6,90,00,KILOGRAMO,12,1,0,00, , , , ,90,00,10,00,900,10, , , , , , ,0,00,9, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00018,00051,10,1,1,1,8.23015873015873,1,1,1,1,1,900,00,LITRO,14,1,350,00,2,00,700,2,450,00,1,50,675,1.5,100,00,2,00,200,2,0,00,2, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00018,00076,14,1,1,1,8.23015873015873,1,1,1,15,6,240,00,UNIDAD,24,.06,0,00, , , , ,240,00,0,50,120,8.3333, , , , , , ,0,00,2, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00019,00023,5,1,1,1,8.86324786324786,1,1,1,1,1,54,00,LITRO,14,1,0,00, , , , ,30,00,2,50,75,2.5,0,00, , , , ,24,00,1, 
