ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_1_PRE_KG,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00060,6,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,20,000,TERCIO,20,30,0,000, , , , ,20,000,0,000, 
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00064,7,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,8,000,CAMIONADA,08,400,0,000, , , , ,8,000,0,000, 
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00081,9,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,20,000,CAMIONADA,08,400,0,000, , , , ,20,000,0,000, 
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00103,12,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,20,000,SACO,19,100,0,000, , , , ,20,000,0,000, 
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00105,13,1,1,1,128.214285714286,1,1,0,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,20,000,SACO,19,100,20,000,12,00,240,.12,0,000,0,000, 
2021,20,PIURA,02,AYABACA,10,SUYO,00259,00120,14,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,440,000,TERCIO,20,5,400,000,1,00,400,.2,40,000,0,000, 
2021,20,PIURA,02,AYABACA,10,SUYO,00266,00057,9,1,1,1,138.076923076923,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,300,000,CARGA,09,20,300,000,2,00,600,.1,0,000,0,000, 
2021,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00044,4,1,1,1,128.214285714286,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,2400,000,KILOGRAMO,12,1,2400,000,0,08,192,.08,0,000,0,000, 
2021,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00071,6,1,1,1,128.214285714286,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1600,000,KILOGRAMO,12,1,0,000, , , , ,1600,000,0,000, 
2021,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00089,8,1,1,1,128.214285714286,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,0,000, , , , ,0,000,1000,000, 
2021,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00128,10,1,1,1,128.214285714286,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1200,000,KILOGRAMO,12,1,0,000, , , , ,1200,000,0,000, 
2021,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00162,14,1,1,1,128.214285714286,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,0,000, , , , ,0,000,1000,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00037,3,1,2,4,74.6071428571429,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,30,000,TONELADA,22,1000,0,000, , , , ,30,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00057,5,1,2,4,74.6071428571429,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,3,000,TONELADA,22,1000,0,000, , , , ,3,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00073,6,1,2,4,74.6071428571429,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1,000,TONELADA,22,1000,0,000, , , , ,1,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00089,8,1,2,4,74.6071428571429,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,5,000,TONELADA,22,1000,0,000, , , , ,5,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00111,11,1,2,4,74.6071428571429,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1,000,TONELADA,22,1000,0,000, , , , ,1,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00141,13,1,2,4,74.6071428571429,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,3,000,TONELADA,22,1000,0,000, , , , ,3,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00286,00156,14,1,2,4,74.6071428571429,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,10,000,TONELADA,22,1000,0,000, , , , ,10,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00005,1,1,2,4,80.3461538461539,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,5000,000,KILOGRAMO,12,1,0,000, , , , ,0,000,5000,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00037,3,1,2,4,80.3461538461539,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,7000,000,KILOGRAMO,12,1,0,000, , , , ,0,000,7000,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00052,4,1,2,4,80.3461538461539,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,9000,000,KILOGRAMO,12,1,0,000, , , , ,0,000,9000,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00058,5,1,2,4,80.3461538461539,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,7500,000,KILOGRAMO,12,1,0,000, , , , ,0,000,7500,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00069,6,1,2,4,80.3461538461539,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,5000,000,KILOGRAMO,12,1,5000,000,0,10,500,.1,0,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00084,7,1,2,4,80.3461538461539,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,1500,000,KILOGRAMO,12,1,0,000, , , , ,1500,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00099,8,1,2,4,80.3461538461539,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,4500,000,KILOGRAMO,12,1,0,000, , , , ,0,000,4500,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00116,9,1,2,4,80.3461538461539,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,7500,000,KILOGRAMO,12,1,0,000, , , , ,2500,000,5000,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00126,10,1,2,4,80.3461538461539,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,4000,000,KILOGRAMO,12,1,2000,000,0,10,200,.1,0,000,2000,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00141,11,1,2,4,80.3461538461539,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,25000,000,KILOGRAMO,12,1,25000,000,0,10,2500,.1,0,000,0,000, 
