ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1203,P1205,P1205_NOM,P1205_COD,P1205_TIPO,P1206_SUP_1,P1206_SUP_2,OMICAP1200_02
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00103,12,1,1,1,8.64285714285714,1, ,1,0,0,1,1,PAPAYA,1163,2,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00103,12,1,1,1,8.64285714285714,1, ,1,0,0,1,2,YUCA,2620,1,0,370, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00103,12,1,1,1,8.64285714285714,1, ,1,0,0,1,3,PIMIENTO,2335,1,0,453, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00103,12,1,1,1,8.64285714285714,1, ,1,0,0,1,4,AJI,2302,1,0,110, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00103,12,1,1,1,8.64285714285714,1, ,1,0,0,1,5,LIMON ACIDO,1140,3,0,060, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00103,12,1,1,1,8.64285714285714,1, ,1,0,0,1,6,PLATANO,1171,3,0,030, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00103,12,1,1,1,8.64285714285714,1, ,1,0,0,1,7,MAIZ AMARILLO DURO,2107,1,0,450, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00107,13,1,1,1,8.64285714285714,1, ,1,1,0,1,1,MAIZ AMARILLO DURO,2107,1,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00005,1,1,1,1,11.5454545454545,1, ,1,1,0,1,1,YUCA,2620,1,0,452, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00005,1,1,1,1,11.5454545454545,1, ,1,1,0,1,2,MANGO,1147,2,0,048, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00018,2,1,1,1,11.5454545454545,1, ,1,1,0,1,1,MANGO,1147,2,1,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00027,3,1,1,1,11.5454545454545,1, ,1,1,0,1,1,MANGO,1147,2,2,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00027,3,1,1,1,11.5454545454545,1, ,1,1,0,1,2,PLATANO,1171,3,1,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00027,3,1,1,1,11.5454545454545,1, ,1,1,0,1,3,YUCA,2620,1,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00038,4,1,1,1,11.5454545454545,1, ,1,1,0,1,1,LIMON ACIDO,1140,3,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00038,4,1,1,1,11.5454545454545,1, ,1,1,0,1,2,YUCA,2620,1,1,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00038,4,1,1,1,11.5454545454545,1, ,1,1,0,1,3,MAIZ AMARILLO DURO,2107,1,1,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00050,6,1,1,1,11.5454545454545,1, ,1,1,0,1,1,YUCA,2620,1,0,800, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00050,6,1,1,1,11.5454545454545,1, ,1,1,0,1,2,LIMON ACIDO,1140,3,0,700, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00076,10,1,1,1,11.5454545454545,1, ,1,1,0,1,1,YUCA,2620,1,2,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00076,10,1,1,1,11.5454545454545,1, ,1,1,0,1,2,LIMON ACIDO,1140,3,0,900, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00076,10,1,1,1,11.5454545454545,1, ,1,1,0,1,3,MANGO,1147,2,0,100, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00087,11,1,1,1,11.5454545454545,1, ,1,1,0,1,1,MAIZ AMARILLO DURO,2107,1,0,400, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00087,11,1,1,1,11.5454545454545,1, ,1,1,0,1,2,NARANJO,1156,2,0,020, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00087,11,1,1,1,11.5454545454545,1, ,1,1,0,1,3,PAPAYA,1163,2,0,020, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00087,11,1,1,1,11.5454545454545,1, ,1,1,0,1,4,LIMON ACIDO,1140,3,0,450, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00087,11,1,1,1,11.5454545454545,1, ,1,1,0,1,5,MANGO,1147,2,0,050, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00087,11,1,1,1,11.5454545454545,1, ,1,1,0,1,6,CARAMBOLA,1114,2,0,010, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,1,1,1,11.5454545454545,1, ,1,1,0,1,1,MAIZ CHOCLO,2109,1,1,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,1,1,1,11.5454545454545,1, ,1,1,0,1,2,MANGO,1147,2,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,1,1,1,11.5454545454545,1, ,1,1,0,1,3,LIMON ACIDO,1140,3,1,250, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,1,1,1,11.5454545454545,1, ,1,1,0,1,4,NARANJO,1156,2,0,100, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,1,1,1,11.5454545454545,1, ,1,1,0,1,5,PAPAYA,1163,2,0,050, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00114,13,1,1,1,11.5454545454545,1, ,1,1,0,1,1,YUCA,2620,1,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00114,13,1,1,1,11.5454545454545,1, ,1,1,0,1,2,MANGO,1147,2,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00114,13,1,1,1,11.5454545454545,1, ,1,1,0,1,3,PASTO SUDAN,1466,3,0,100, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1, ,1,1,0,1,1,MAIZ AMARILLO DURO,2107,1,0,800, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1, ,1,1,0,1,2,MANGO,1147,2,0,020, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1, ,1,1,0,1,3,YUCA,2620,1,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1, ,1,1,0,1,4,PASTO ELEFANTE,1424,3,0,150, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1, ,1,1,0,1,1,MAIZ AMARILLO DURO,2107,1,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1, ,1,1,0,1,2,YUCA,2620,1,0,750, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1, ,1,1,0,1,3,PASTO SUDAN,1466,3,0,050, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1, ,1,1,0,1,4,MANGO,1147,2,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00035,5,1,1,1,9.76923076923077,1, ,1,1,0,1,1,NARANJO,1156,2,0,008, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00035,5,1,1,1,9.76923076923077,1, ,1,1,0,1,2,MANGO,1147,2,0,013, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00035,5,1,1,1,9.76923076923077,1, ,1,1,0,1,3,YUCA,2620,1,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00045,6,1,1,1,9.76923076923077,1, ,1,1,0,1,1,YUCA,2620,1,2,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00045,6,1,1,1,9.76923076923077,1, ,1,1,0,1,2,MAIZ AMARILLO DURO,2107,1,0,950, 
