ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P105_N,P204_NOM,P204_COD,P204_TIPO,P218A,P218B,P218C_NRO,P218C_PROD_CORTE_ENT,P218C_PROD_CORTE_DEC
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00043,00103,12,1,1,1,9.35714285714286,1,1,1,2,PASTO ELEFANTE,1424,3,1,2,1,1500,000
2021,24,TUMBES,01,TUMBES,05,SAN JACINTO,00043,00103,12,1,1,1,9.35714285714286,1,1,1,2,PASTO ELEFANTE,1424,3,1,2,2,1500,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00047,00010,2,1,1,1,8.23015873015873,1,1,1,2,PASTO ELEFANTE,1424,3,1,4,3,600,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00047,00010,2,1,1,1,8.23015873015873,1,1,1,2,PASTO ELEFANTE,1424,3,1,4,2,600,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00047,00010,2,1,1,1,8.23015873015873,1,1,1,2,PASTO ELEFANTE,1424,3,1,4,1,600,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00047,00010,2,1,1,1,8.23015873015873,1,1,1,2,PASTO ELEFANTE,1424,3,1,4,4,600,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00047,00090,12,1,1,1,8.23015873015873,1,1,0,1,PASTO ELEFANTE,1424,3,1,4,3,18,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00047,00090,12,1,1,1,8.23015873015873,1,1,0,1,PASTO ELEFANTE,1424,3,1,4,1,18,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00047,00090,12,1,1,1,8.23015873015873,1,1,0,1,PASTO ELEFANTE,1424,3,1,4,4,18,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00047,00090,12,1,1,1,8.23015873015873,1,1,0,1,PASTO ELEFANTE,1424,3,1,4,2,18,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00048,00035,6,1,1,1,8.23015873015873,1,1,1,2,PASTO ELEFANTE,1424,3,1,2,2,900,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00048,00035,6,1,1,1,8.23015873015873,1,1,1,2,PASTO ELEFANTE,1424,3,1,2,1,1000,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00050,00079,11,1,1,1,9.60185185185185,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,2,8000,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00050,00079,11,1,1,1,9.60185185185185,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,3,8000,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00050,00079,11,1,1,1,9.60185185185185,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,1,8000,000
