ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00399,00021,2,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,17,00,KILOGRAMO,12,1,0,00, , , , ,15,00,2,00, 
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00399,00065,6,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,20,00,KILOGRAMO,12,1,0,00, , , , ,20,00,0,00, 
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00399,00075,7,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,15,00,KILOGRAMO,12,1,0,00, , , , ,15,00,0,00, 
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00399,00094,8,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,10,00,KILOGRAMO,12,1,0,00, , , , ,10,00,0,00, 
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00408,00003,1,1,2,4,80.3461538461538,1,1,1,1,1,1,QUESO,4208,21,00,KILOGRAMO,12,1,3,00,10,00,30,10,18,00,0,00, 
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00408,00024,4,1,2,4,80.3461538461538,1,1,1,1,1,1,QUESO,4208,20,00,KILOGRAMO,12,1,1,00,10,00,10,10,19,00,0,00, 
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00408,00030,5,1,2,4,80.3461538461538,1,1,1,1,1,1,QUESO,4208,100,00,KILOGRAMO,12,1,5,00,8,00,40,8,95,00,0,00, 
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00408,00045,7,1,2,4,80.3461538461538,1,1,1,1,1,1,QUESO,4208,20,00,KILOGRAMO,12,1,1,00,10,00,10,10,19,00,0,00, 
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00408,00051,8,1,2,4,80.3461538461538,1,1,1,1,1,1,QUESO,4208,20,00,KILOGRAMO,12,1,0,00, , , , ,20,00,0,00, 
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00408,00058,9,1,2,4,80.3461538461538,1,1,1,1,1,1,QUESO,4208,50,00,KILOGRAMO,12,1,5,00,10,09,50,10.09,45,00,0,00, 
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00408,00066,10,1,2,4,80.3461538461538,1,1,1,1,1,1,QUESO,4208,50,00,KILOGRAMO,12,1,0,00, , , , ,45,00,5,00, 
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00408,00073,11,1,2,4,80.3461538461538,1,1,1,1,1,1,QUESO,4208,15,00,KILOGRAMO,12,1,0,00, , , , ,15,00,0,00, 
2021,20,PIURA,02,AYABACA,04,LAGUNAS,00408,00076,12,1,2,4,80.3461538461538,1,1,1,1,1,1,QUESO,4208,20,00,KILOGRAMO,12,1,2,00,10,00,20,10,18,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00414,00002,1,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,50,00,UNIDAD,24,1,0,00, , , , ,40,00,10,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00414,00035,4,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,28,00,UNIDAD,24,1,0,00, , , , ,28,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00414,00052,6,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,48,00,UNIDAD,24,1,15,00,10,00,150,10,33,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00414,00063,7,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,48,00,UNIDAD,24,1,0,00, , , , ,48,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00414,00078,8,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,66,00,UNIDAD,24,1,0,00, , , , ,66,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00414,00083,9,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,48,00,UNIDAD,24,1,0,00, , , , ,48,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00414,00092,10,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,56,00,UNIDAD,24,1,20,00,15,00,300,15,36,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00414,00103,11,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,102,00,UNIDAD,24,1,70,00,10,00,700,10,32,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00414,00122,12,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,48,00,UNIDAD,24,1,20,00,10,00,200,10,28,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00414,00145,14,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,48,00,UNIDAD,24,1,0,00, , , , ,48,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00417,00003,1,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,12,00,KILOGRAMO,12,1,7,00,15,00,105,15,5,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00423,00076,9,1,2,4,74.6071428571428,1,1,1,"1,3","1,3",1,QUESO,4208,45,00,KILOGRAMO,12,1,25,00,10,00,250,10,15,00,5,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00433,00005,1,1,2,4,87.0416666666667,1,1,1,1,1,1,QUESO,4208,30,00,UNIDAD,24,1,20,00,10,00,200,10,10,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00433,00014,2,1,2,4,87.0416666666667,1,1,1,1,1,1,QUESO,4208,72,00,KILOGRAMO,12,1,36,00,10,00,360,10,36,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00433,00034,4,1,2,4,87.0416666666667,1,1,1,1,1,1,QUESO,4208,24,00,UNIDAD,24,.75,0,00, , , , ,20,00,4,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00433,00043,5,1,2,4,87.0416666666667,1,1,1,1,1,1,QUESO,4208,16,00,UNIDAD,24,1,0,00, , , , ,16,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00433,00111,12,1,2,4,87.0416666666667,1,1,1,1,1,1,QUESO,4208,26,00,KILOGRAMO,12,1,0,00, , , , ,26,00,0,00, 
2021,20,PIURA,02,AYABACA,06,PACAIPAMPA,00433,00124,13,1,2,4,87.0416666666667,1,1,1,1,1,1,QUESO,4208,8,00,UNIDAD,24,1,0,00, , , , ,8,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00490,00005,1,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,10,00,KILOGRAMO,12,1,8,00,12,00,96,12,2,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00490,00040,5,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,30,00,KILOGRAMO,12,1,0,00, , , , ,30,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00490,00051,7,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,14,00,KILOGRAMO,12,1,10,00,8,00,80,8,4,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00490,00067,9,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,10,00,KILOGRAMO,12,1,0,00, , , , ,10,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00490,00080,11,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,20,00,KILOGRAMO,12,1,0,00, , , , ,20,00,0,00, 
